month,mean_ci,mean_ci,mean_ci,mean_ci,mean_ci,median_ci,median_ci,median_ci,median_ci,median_ci,std_ci,std_ci,std_ci,std_ci,std_ci,min_ci,min_ci,min_ci,min_ci,min_ci,max_ci,max_ci,max_ci,max_ci,max_ci,mean_dn,mean_dn,mean_dn,mean_dn,mean_dn,median_dn,median_dn,median_dn,median_dn,median_dn,std_dn,std_dn,std_dn,std_dn,std_dn,min_dn,min_dn,min_dn,min_dn,min_dn,max_dn,max_dn,max_dn,max_dn,max_dn
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
1,0.00042511635124043513,0.000369434736795736,0.00024204048392441392,0.00012388936622947886,0.0014893118907678528,0.0002663209156636604,0.00022477986187010584,0.00015414759947172518,0.00011920211155692434,0.0009908944592761167,0.0004129001989203694,0.0003769869250690453,0.00022052251356492595,2.576544280386524e-05,0.001022940505890735,8.429539098757883e-05,6.677707623479695e-05,7.57369576516962e-05,6.677707623479695e-05,0.0005623845744677356,0.0033651921129822,0.003426663037657071,0.0019325491317956644,0.0001421082855563661,0.009295856266680787,51.56336836866849,49.279661016949156,14.538517912928873,23.0,107.33333333333333,48.37777777777778,46.0,15.628919710368061,22.0,101.0,30.832052377298933,31.20637522705807,6.666376586178381,8.48528137423857,41.64622627880354,5.288888888888889,1,13.602510166446589,1,80,135.44444444444446,147.0,35.71131445071686,29,184
2,0.00042093537610190726,0.00036872981217625327,0.00017789200563519996,6.860273023526938e-05,0.000949902564484875,0.0002874385319143075,0.0002437246189121554,0.00013063813428057123,6.860273023526938e-05,0.0006611764860334898,0.0003958990413722609,0.00037000866124332844,0.00020914349321817045,0.0,0.0008844433128336854,8.929603087268152e-05,6.677707623479695e-05,7.944511453140005e-05,6.677707623479695e-05,0.0005048674830098632,0.003820784066420155,0.003921402306985135,0.0019495291053273844,6.860273023526938e-05,0.007491648628402593,52.84780178833214,50.41443447508023,14.764748844270652,2.0,83.65959918675574,51.63513513513514,49.0,16.424341965783867,2.0,86.0,28.84198458412766,31.193961929768076,10.215187420681383,0.0,40.2245606284778,6.324324324324325,1,16.109096902154477,1,76,139.6216216216216,152.0,39.63328521958906,2,176
3,0.00048044897473106476,0.00038332314174419004,0.0004840293846025284,0.00020434296286780398,0.0034502517665291024,0.0003557859785882329,0.00025038793588587333,0.000505565262278019,0.00012417935507239513,0.0034502517665291024,0.0004311519789941249,0.0003868622136071655,0.00036559471440792204,4.604497301806934e-05,0.002752428572975881,0.00010852343796816146,6.677707623479695e-05,0.0001678609618861306,6.677707623479695e-05,0.0010458162845362108,0.004048269254122659,0.004028611610130368,0.002264071004574484,0.00025038793588587333,0.010928823193440932,54.745453495740975,51.76373626373626,16.538579087489108,34.333333333333336,128.5,52.702127659574465,50.0,18.6342542152151,24.0,128.5,30.638312994297497,31.43925248839966,5.646989841465017,8.5,40.5,8.02127659574468,1,20.23287183478167,1,103,143.85106382978722,153.0,31.963959815775837,50,190
4,0.0010403689913972653,0.0005268163234166529,0.0014630022182969978,9.260099464871504e-05,0.007815570325535141,0.0008555210997487132,0.00034608390305791557,0.0015098253168242435,9.260099464871504e-05,0.0072922810778448905,0.000890014973042408,0.0005792138739060397,0.0010202940830784182,0.0,0.005531406728087374,0.00014190492227439814,6.677707623479695e-05,0.00019877996649000131,6.677707623479695e-05,0.0012295307649586363,0.005316293275919249,0.0047363021478686205,0.003575976939348831,0.00010007771940692956,0.02203623524596353,70.23188483348011,62.33560942800328,29.435832743679615,13.0,156.6420534458509,70.53,62.0,34.711994339426944,13.0,175.0,32.24990357156517,33.3005333472915,12.054867878125314,0.0,59.48025594518612,14.24,1,27.015913677622216,1,109,152.94,159.0,34.852113220267825,16,216
5,0.0035338049703514027,0.0018020837551139199,0.0034361490915520627,0.0004064516227931233,0.011717908924995957,0.0033787259089633,0.001180885780857227,0.004135839171358982,0.000207307684089783,0.013199923066441688,0.0023158657095303623,0.001726240025875306,0.0017274156160790315,0.0,0.006458551131259954,0.00020152034193717934,6.860273023526938e-05,0.0005289823569928405,6.677707623479695e-05,0.0028370918749717113,0.01141670988160403,0.009811093170815422,0.006780083844465363,0.0009645248027417586,0.028858742295052624,111.81680138382423,101.7465401344405,41.86312252658364,48.333333333333336,189.8618925831202,116.7719298245614,107.5,48.39071544058974,43.0,197.0,38.04990319017827,39.768000812680945,13.180960237294693,0.0,65.57732338935985,12.736842105263158,2,30.80788762394501,1,140,183.5438596491228,186.0,27.292116977669696,100,226
6,0.007364657719936335,0.006693788371738077,0.0038309360207254995,0.0006498754330678271,0.015524512363704899,0.007563459937879723,0.007491648628402593,0.004684674965024386,0.0003752523321380315,0.016826639874000782,0.004356135931496748,0.00427099809347468,0.002137968803413896,0.0,0.01154329357850489,0.00024282325926135452,6.677707623479695e-05,0.0009016377204397502,6.677707623479695e-05,0.006372258716007311,0.017587355134332443,0.017759281858445344,0.007451616941008055,0.0017459081809869956,0.04209915704428271,150.76568563953458,153.6716049382716,29.466830991769996,73.07692307692308,193.45384615384614,165.28301886792454,176.0,34.11427479160784,65.0,206.0,43.759021329193125,45.51319902806581,14.03473337738506,0.0,66.58117904217754,10.81132075471698,1,31.289010484005644,1,170,202.39622641509433,208.0,24.017893668168373,122,240
7,0.006120871614668405,0.005682634349643119,0.003474520231221994,0.0006710683134950564,0.015816361998200683,0.005147173008930669,0.003568468712025241,0.0039501881517069,0.00033239148767327695,0.014703725960862944,0.005052991586856734,0.0045415317875488505,0.002639791807768225,0.0009040644559140148,0.013076319647284267,7.117142477676235e-05,6.677707623479695e-05,1.8570222191716445e-05,6.677707623479695e-05,0.00020179081761101134,0.028299834324006998,0.02326608758585049,0.015857784606354366,0.004251903506478243,0.05977992970248461,141.2673690035386,139.0917789976532,25.508404615742258,64.45973154362416,186.94931554931554,151.10344827586206,148.5,30.30253284253176,60.5,201.0,45.616307900178384,45.67526747063883,8.638970562136615,24.960504363803043,63.46754738751876,2.706896551724138,1,6.043725528993887,1,42,219.08620689655172,218.0,22.829101528269174,155,253
8,0.005369825605337742,0.005211716859253094,0.002317377346645144,0.0016868706595042724,0.011296719447324402,0.0035644309671328386,0.0032467092624460787,0.001854434868798663,0.0005328505274418883,0.010079323864733893,0.005428327875605641,0.00495312423723267,0.002614363447985418,0.0013074576588794835,0.012686925952593662,6.691054266993986e-05,6.677707623479695e-05,1.007649487995511e-06,6.677707623479695e-05,7.438466303794841e-05,0.03392433502313985,0.03045828176842181,0.015720989054214807,0.010079323864733893,0.05977992970248461,135.78151677965735,135.93215841045182,16.75096974841097,87.98599336527829,175.10513036164843,143.66666666666666,145.0,19.68260048633721,78.0,187.0,49.135977815711165,49.65515283786966,7.491459012062718,28.783227545988414,68.59987127383567,1.0701754385964912,1,0.5298129428260174,1,5,227.98245614035088,228.0,17.610357370501937,187,253
9,0.004203503314083365,0.0035603729583968398,0.002522497680916649,0.0010255217648204931,0.012414035877078273,0.0027974698162379903,0.002052605082802338,0.0022532477466909112,0.00044117145029042725,0.007906884593269861,0.004145926635838414,0.003542236712285718,0.002366133321330852,0.0011176874373354162,0.013436953604488171,6.691539599485417e-05,6.677707623479695e-05,1.0258067952723782e-06,6.677707623479695e-05,7.438466303794841e-05,0.02477499707054178,0.021449807549949466,0.013715665686560592,0.009295856266680787,0.05977992970248461,120.67712144190112,118.72140762463343,23.538779385153898,79.48624794745484,169.10946168840906,127.5,128.0,30.877745791835025,71.0,178.0,52.1210852551661,52.80474366714547,7.362188679596103,28.65781135933423,64.78378839163935,1.0727272727272728,1,0.5393598899705936,1,5,215.43636363636364,215.0,18.9128250003787,184,253
10,0.0038049818371669033,0.0029423258251524936,0.0031313343162162515,0.0003493028202582604,0.015419212261749936,0.002579706331241582,0.0009523832598964905,0.0031952717911134056,0.00017163956294706596,0.011849919498210883,0.0038993830287009893,0.003243856168505529,0.002763407153150133,0.00019051556375837545,0.014931924860873096,6.958461347638103e-05,6.677707623479695e-05,1.5194363200321229e-05,6.677707623479695e-05,0.00018115294552343463,0.019304301970675678,0.015312210586485936,0.014844977432781388,0.0006611764860334898,0.05977992970248461,106.62361204894131,97.77595150424426,34.806661323001435,44.34700315457413,178.82901554404145,109.11206896551724,99.5,46.02221461152805,36.0,193.0,52.63114842493614,55.348204423587994,11.513296195674407,25.998263830921903,72.92636921973757,2.0689655172413794,1,5.015282150729074,1,38,201.22413793103448,202.5,29.375394348049998,86,253
11,0.0009677762432687354,0.0004434537652796627,0.0012624397403747391,0.00015707347110200293,0.006201019945866977,0.0007022845266140289,0.0002607497455274268,0.0013395190772906788,8.745152757570437e-05,0.0072922810778448905,0.000992853859149083,0.00044253266442290443,0.0010719256053616448,0.00011188552147146818,0.004924255867059667,7.250803395535994e-05,6.677707623479695e-05,1.384091084523037e-05,6.677707623479695e-05,0.00013464536253370588,0.006075406024093097,0.004489204180483972,0.004519493680909111,0.00042943100759441867,0.01874361693655935,62.944921793811794,53.984608728930596,29.31855155032315,24.692307692307693,153.91071428571428,61.45,51.5,36.01958792498485,11.0,175.0,36.14804042393802,32.496990068216945,10.431829180809423,18.311350456903927,69.61822170463388,3.56,1,5.682626584420199,1,27,156.2,157.0,33.623971041080615,70,210
12,0.00037850968714516495,0.00034725176647318074,0.00013511105428246913,0.00017059067634666306,0.000855859515032917,0.0002560414628039955,0.00022178894406959382,0.0001502953649966974,0.00011452687219239174,0.0009645248027417586,0.0003705258546662324,0.00035848644791729156,0.00015199646338550274,0.00010825468231625833,0.0009678556395213676,8.46802841293856e-05,6.677707623479695e-05,7.902379094127934e-05,6.677707623479695e-05,0.0005777599054356696,0.003379694479236039,0.0031182569089509625,0.0019657229609873835,0.0004532328711930874,0.009550000624864566,49.94661430670495,48.10013905235999,11.705273746039495,28.0,93.5,47.34375,45.5,14.182382032168748,21.0,100.0,29.999520665659187,30.5650384760808,5.543811897231358,12.5,40.139580040827155,4.958333333333333,1,14.339290366923683,1,81,138.41666666666666,143.5,27.724198918521672,72,185
